"filename", "language", "CMake", "C++", "Markdown", "comment", "blank", "total"
"d:\Programing\c++\CmakeProjects\TestProject\CMakeLists.txt", "CMake", 26, 0, 0, 1, 10, 37
"d:\Programing\c++\CmakeProjects\TestProject\Components\CMakeLists.txt", "CMake", 2, 0, 0, 0, 0, 2
"d:\Programing\c++\CmakeProjects\TestProject\Components\Component.h", "C++", 0, 7, 0, 0, 0, 7
"d:\Programing\c++\CmakeProjects\TestProject\Components\Renderer.cpp", "C++", 0, 19, 0, 2, 1, 22
"d:\Programing\c++\CmakeProjects\TestProject\Components\Renderer.h", "C++", 0, 18, 0, 1, 4, 23
"d:\Programing\c++\CmakeProjects\TestProject\Components\RendererFactory.h", "C++", 0, 5, 0, 4, 0, 9
"d:\Programing\c++\CmakeProjects\TestProject\Systems\CMakeLists.txt", "CMake", 3, 0, 0, 0, 0, 3
"d:\Programing\c++\CmakeProjects\TestProject\Systems\ImguiComponent.h", "C++", 0, 7, 0, 0, 0, 7
"d:\Programing\c++\CmakeProjects\TestProject\Systems\ImguiManager.h", "C++", 0, 26, 0, 11, 5, 42
"d:\Programing\c++\CmakeProjects\TestProject\Systems\LunaticEngine.cpp", "C++", 0, 67, 0, 25, 8, 100
"d:\Programing\c++\CmakeProjects\TestProject\Systems\LunaticEngine.h", "C++", 0, 17, 0, 2, 5, 24
"d:\Programing\c++\CmakeProjects\TestProject\Systems\RenderingCore.cpp", "C++", 0, 25, 0, 0, 1, 26
"d:\Programing\c++\CmakeProjects\TestProject\Systems\RenderingCore.h", "C++", 0, 25, 0, 6, 10, 41
"d:\Programing\c++\CmakeProjects\TestProject\main.cpp", "C++", 0, 27, 0, 2, 3, 32
"d:\Programing\c++\CmakeProjects\TestProject\note.md", "Markdown", 0, 0, 2, 0, 2, 4
"Total", "-", 31, 243, 2, 54, 49, 379